,year,state_name,Commodity,crop_type,cul_cost_c2,derived_yield,mat_lab_input_seed,mat_lab_input_fertilizer,mat_lab_input_manure,seed_rate_per_unit,fert_rate_per_unit,manure_rate_per_unit,total_human_hours,total_labor_cost,total_operational_cost,total_fixed_cost,Unnamed: 0
19,2024,haryana,banana,fruit,68797.0,205.0,2894.0,10478.0,3454.0,8.48,17.24,59.97,125.0,31875.0,48701.0,12365.0,
20,2025,haryana,papaya,fruit,127793.0,188.0,7808.0,12861.0,12553.0,8.84,23.91,24.55,274.0,50142.0,83364.0,37975.0,
21,2022,punjab,pomegranate,fruit,90676.0,216.0,6136.0,6190.0,12936.0,16.82,31.77,71.52,142.0,15762.0,41024.0,11878.0,
22,2022,uttar pradesh,muskmelon,fruit,114328.0,94.0,7099.0,5913.0,7483.0,19.2,40.2,60.95,220.0,38500.0,58995.0,15310.0,
23,2022,uttar pradesh,papaya,fruit,66030.0,148.0,4380.0,6430.0,3542.0,8.56,45.08,64.33,117.0,32994.0,47346.0,15439.0,
24,2025,gujarat,red pepper,spice,49106.0,16.0,5653.0,19163.0,4275.0,12.51,11.08,23.2,175.0,36925.0,66016.0,12219.0,
25,2024,haryana,muskmelon,fruit,129615.0,296.0,7738.0,11645.0,9821.0,19.61,30.01,65.29,230.0,38180.0,67384.0,17944.0,
26,2023,maharashtra,muskmelon,fruit,74449.0,128.0,2052.0,13748.0,9142.0,15.78,28.31,47.35,123.0,18327.0,43269.0,17752.0,
27,2023,uttar pradesh,rice,cereal,72287.0,70.0,4053.0,14958.0,5637.0,12.83,31.91,75.41,252.0,26460.0,51108.0,11656.0,
28,2022,karnataka,papaya,fruit,72267.0,225.0,6179.0,7563.0,6003.0,19.33,45.1,72.28,81.0,20493.0,40238.0,20639.0,
29,2022,punjab,red pepper,spice,72142.0,28.0,3773.0,14426.0,14323.0,23.28,33.53,48.05,262.0,29868.0,62390.0,11950.0,
30,2023,punjab,coconut,fruit,142085.0,182.0,3590.0,8586.0,11437.0,8.23,43.22,28.03,222.0,65712.0,89325.0,11836.0,
31,2023,punjab,apple,fruit,75365.0,194.0,7502.0,10175.0,3910.0,8.25,30.02,66.18,234.0,55224.0,76811.0,12996.0,
32,2022,gujarat,banana,fruit,122041.0,121.0,2247.0,7448.0,7325.0,6.42,31.19,20.09,280.0,60760.0,77780.0,10294.0,
33,2024,karnataka,coffee,cash crop,71093.0,32.0,4413.0,5025.0,5699.0,22.65,17.9,21.42,288.0,37152.0,52289.0,30693.0,
34,2022,karnataka,coffee,cash crop,46216.0,31.0,7982.0,13351.0,8982.0,9.18,47.74,23.0,258.0,39732.0,70047.0,37686.0,
35,2022,maharashtra,banana,fruit,68432.0,293.0,4471.0,9678.0,3923.0,19.3,33.02,64.7,198.0,23958.0,42030.0,16134.0,
36,2023,haryana,watermelon,fruit,130787.0,208.0,7868.0,12714.0,7362.0,17.0,49.05,39.21,164.0,35260.0,63204.0,23708.0,
37,2023,punjab,mothbeans,pulse,55355.0,20.0,3012.0,11440.0,12267.0,12.91,33.25,22.64,253.0,54648.0,81367.0,33226.0,
38,2025,tamil nadu,mango,fruit,81938.0,134.0,6788.0,12280.0,13876.0,8.69,27.19,62.33,97.0,20564.0,53508.0,30429.0,
39,2022,tamil nadu,coconut,fruit,139402.0,129.0,3750.0,15768.0,9961.0,6.21,19.57,20.22,196.0,34300.0,63779.0,14120.0,
40,2025,uttar pradesh,watermelon,fruit,83539.0,108.0,2799.0,10721.0,13511.0,15.45,21.4,53.45,288.0,49248.0,76279.0,23994.0,
41,2022,tamil nadu,mungbean,pulse,55384.0,13.0,3971.0,13591.0,7091.0,8.68,44.3,33.48,124.0,31868.0,56521.0,10556.0,
42,2023,punjab,apple,fruit,62412.0,132.0,7182.0,17886.0,13851.0,9.01,42.25,77.56,268.0,48240.0,87159.0,17926.0,
43,2022,gujarat,rice,cereal,40481.0,56.0,2619.0,12265.0,3652.0,21.74,28.48,66.44,240.0,69600.0,88136.0,27241.0,
44,2022,haryana,coconut,fruit,85493.0,228.0,5120.0,10224.0,10298.0,6.65,39.83,38.4,236.0,50504.0,76146.0,36348.0,
45,2024,karnataka,pomegranate,fruit,106649.0,274.0,2918.0,10180.0,6690.0,22.7,45.94,78.23,204.0,28764.0,48552.0,10043.0,
46,2024,uttar pradesh,mango,fruit,87381.0,128.0,6775.0,9768.0,11463.0,16.88,29.86,50.88,210.0,50190.0,78196.0,17695.0,
47,2025,tamil nadu,pomegranate,fruit,114913.0,188.0,5288.0,15398.0,8293.0,8.24,34.61,69.69,263.0,34453.0,63432.0,23241.0,
48,2023,tamil nadu,grapes,fruit,147426.0,218.0,3156.0,16422.0,11182.0,10.61,42.29,79.29,285.0,58995.0,89755.0,24531.0,
49,2025,maharashtra,muskmelon,fruit,108181.0,91.0,5241.0,11311.0,3107.0,21.8,42.6,31.75,147.0,35427.0,55086.0,27668.0,
50,2022,uttar pradesh,watermelon,fruit,123010.0,176.0,7390.0,9052.0,8448.0,13.83,29.4,51.41,285.0,81225.0,106115.0,13018.0,
51,2023,haryana,watermelon,fruit,60581.0,110.0,7229.0,18290.0,5323.0,6.28,27.58,70.58,202.0,55348.0,86190.0,11250.0,
52,2022,karnataka,muskmelon,fruit,143834.0,226.0,3638.0,7460.0,6021.0,13.81,10.35,60.68,237.0,68730.0,85849.0,30589.0,
53,2024,uttar pradesh,muskmelon,fruit,138888.0,235.0,5883.0,11127.0,13249.0,6.0,44.77,37.86,168.0,26712.0,56971.0,28855.0,
54,2022,haryana,mango,fruit,136359.0,234.0,6463.0,14034.0,6284.0,20.93,20.79,54.98,248.0,61504.0,88285.0,23511.0,
55,2022,uttar pradesh,mothbeans,pulse,66291.0,16.0,6610.0,18626.0,14020.0,5.86,47.87,63.03,147.0,25284.0,64540.0,28510.0,
56,2023,punjab,muskmelon,fruit,68495.0,169.0,5068.0,19502.0,9835.0,15.42,10.53,74.76,260.0,57460.0,91865.0,12029.0,
57,2023,gujarat,watermelon,fruit,106184.0,197.0,7880.0,14027.0,13399.0,7.27,25.99,49.0,246.0,72816.0,108122.0,39510.0,
58,2022,uttar pradesh,orange,fruit,130714.0,129.0,5444.0,9855.0,14845.0,17.05,35.72,54.03,125.0,35625.0,65769.0,34621.0,
59,2023,karnataka,banana,fruit,90085.0,126.0,4038.0,12130.0,6463.0,8.0,10.56,33.22,217.0,23653.0,46284.0,33124.0,
60,2025,maharashtra,coffee,cash crop,67134.0,36.0,6961.0,5806.0,7410.0,12.47,34.51,77.58,172.0,39388.0,59565.0,35363.0,
61,2025,tamil nadu,mothbeans,pulse,32940.0,8.0,6360.0,10469.0,9910.0,6.35,45.78,78.66,161.0,43953.0,70692.0,18623.0,
62,2024,tamil nadu,maize,cereal,35637.0,33.0,3763.0,17148.0,7905.0,14.11,44.42,57.05,265.0,69960.0,98776.0,13493.0,
63,2025,haryana,orange,fruit,60500.0,124.0,5338.0,13277.0,8967.0,23.56,46.33,53.95,153.0,20502.0,48084.0,38944.0,
64,2023,haryana,apple,fruit,142386.0,236.0,5777.0,18979.0,7987.0,17.97,20.68,25.69,183.0,41175.0,73918.0,31654.0,
65,2022,haryana,maize,cereal,52110.0,45.0,6450.0,10438.0,9527.0,19.77,32.6,32.72,97.0,22795.0,49210.0,12951.0,
66,2025,maharashtra,apple,fruit,145566.0,147.0,6530.0,15614.0,5372.0,21.69,23.61,55.83,203.0,58058.0,85574.0,10250.0,
67,2024,punjab,red pepper,spice,70557.0,18.0,5314.0,13799.0,10910.0,24.32,34.25,35.3,182.0,51142.0,81165.0,21720.0,
68,2024,haryana,coffee,cash crop,56080.0,33.0,5312.0,14860.0,7658.0,20.4,25.18,29.83,145.0,14935.0,42765.0,10670.0,
69,2025,haryana,grapes,fruit,83434.0,285.0,3054.0,19801.0,9037.0,24.23,46.91,35.32,239.0,24139.0,56031.0,33488.0,
70,2023,maharashtra,orange,fruit,62318.0,246.0,2452.0,16453.0,9858.0,6.62,30.76,74.36,157.0,38308.0,67071.0,25664.0,
71,2022,maharashtra,maize,cereal,36674.0,48.0,2361.0,19942.0,10740.0,18.59,38.56,42.94,86.0,16770.0,49813.0,16427.0,
72,2024,uttar pradesh,coffee,cash crop,47449.0,28.0,6908.0,10859.0,10215.0,9.34,36.07,42.97,298.0,76884.0,104866.0,33847.0,
73,2024,haryana,mothbeans,pulse,65859.0,13.0,5533.0,5362.0,13371.0,8.79,24.92,73.87,122.0,19032.0,43298.0,32618.0,
74,2024,karnataka,mango,fruit,90141.0,298.0,7367.0,6290.0,10694.0,8.62,30.36,67.88,100.0,21000.0,45351.0,19007.0,
75,2022,maharashtra,muskmelon,fruit,102998.0,234.0,2185.0,9178.0,8598.0,12.08,38.69,22.95,139.0,15846.0,35807.0,18929.0,
76,2023,uttar pradesh,lentil,pulse,47033.0,20.0,4305.0,15494.0,4818.0,13.17,40.63,20.14,275.0,66000.0,90617.0,13047.0,
77,2024,gujarat,mungbean,pulse,58574.0,16.0,5560.0,7844.0,6768.0,10.2,45.73,36.28,156.0,18408.0,38580.0,15948.0,
78,2025,karnataka,grapes,fruit,139608.0,264.0,5296.0,9744.0,13090.0,11.52,44.75,37.95,223.0,32781.0,60911.0,27356.0,
79,2024,haryana,grapes,fruit,130487.0,191.0,2887.0,13428.0,12650.0,23.49,25.43,63.93,246.0,50676.0,79641.0,23183.0,
80,2025,haryana,mothbeans,pulse,78354.0,9.0,5936.0,6185.0,6998.0,5.64,21.72,31.67,216.0,42984.0,62103.0,27970.0,
81,2022,punjab,coconut,fruit,129485.0,133.0,3343.0,10794.0,7696.0,23.73,44.18,74.96,152.0,38912.0,60745.0,24279.0,
82,2022,maharashtra,orange,fruit,119934.0,234.0,3374.0,16441.0,14804.0,6.58,12.73,45.59,176.0,49808.0,84427.0,28241.0,
83,2023,punjab,grapes,fruit,83381.0,157.0,4200.0,8186.0,12970.0,13.57,40.93,24.3,249.0,34860.0,60216.0,29774.0,
84,2025,gujarat,grapes,fruit,131558.0,236.0,2472.0,13439.0,9837.0,7.67,47.52,47.49,187.0,19635.0,45383.0,26814.0,
85,2025,maharashtra,maize,cereal,52502.0,57.0,5505.0,16094.0,10142.0,11.67,18.3,55.62,171.0,25137.0,56878.0,30201.0,
86,2025,karnataka,pomegranate,fruit,118371.0,284.0,2523.0,15477.0,11846.0,11.29,11.57,35.51,250.0,69500.0,99346.0,36707.0,
87,2025,uttar pradesh,coffee,cash crop,51233.0,30.0,7944.0,11936.0,12911.0,24.56,34.79,72.66,261.0,41238.0,74029.0,10539.0,
88,2022,haryana,lentil,pulse,35062.0,15.0,6784.0,6885.0,9002.0,5.96,15.87,63.63,239.0,36567.0,59238.0,27162.0,
89,2023,maharashtra,grapes,fruit,65665.0,90.0,2068.0,11505.0,10888.0,11.73,18.98,39.18,88.0,13024.0,37485.0,30773.0,
90,2023,karnataka,mango,fruit,147010.0,231.0,6006.0,13527.0,6899.0,16.76,34.28,62.11,123.0,27675.0,54107.0,17730.0,
91,2024,maharashtra,mango,fruit,82007.0,142.0,7478.0,9687.0,7491.0,15.84,38.31,20.44,87.0,24621.0,49277.0,39482.0,
92,2023,haryana,coconut,fruit,69717.0,143.0,6243.0,16837.0,5647.0,11.71,35.12,29.33,227.0,65830.0,94557.0,34804.0,
93,2024,tamil nadu,orange,fruit,108278.0,174.0,2387.0,5118.0,6967.0,7.9,41.83,49.51,229.0,30915.0,45387.0,35641.0,
94,2025,maharashtra,grapes,fruit,67035.0,170.0,3472.0,17047.0,10838.0,19.69,36.45,26.4,254.0,39878.0,71235.0,24631.0,
95,2025,tamil nadu,apple,fruit,71029.0,244.0,6889.0,6260.0,10725.0,15.83,17.03,70.23,97.0,11446.0,35320.0,18414.0,
96,2022,haryana,coconut,fruit,78275.0,290.0,2347.0,7882.0,13273.0,19.54,42.83,23.14,101.0,27371.0,50873.0,21913.0,
97,2022,haryana,muskmelon,fruit,69054.0,238.0,3074.0,14931.0,10896.0,17.92,17.54,24.89,211.0,21522.0,50423.0,15368.0,
98,2025,karnataka,orange,fruit,146273.0,294.0,3388.0,10819.0,11503.0,14.74,15.85,50.63,293.0,72371.0,98081.0,15484.0,
99,2025,punjab,watermelon,fruit,93619.0,263.0,4192.0,14472.0,3518.0,20.91,27.59,73.74,248.0,46624.0,68806.0,39489.0,
100,2022,haryana,coffee,cash crop,69241.0,29.0,3232.0,6704.0,5549.0,16.23,17.79,57.6,204.0,38556.0,54041.0,13544.0,
101,2024,gujarat,coffee,cash crop,61333.0,37.0,2425.0,17094.0,4452.0,18.21,23.95,59.16,214.0,38520.0,62491.0,16577.0,
102,2023,tamil nadu,pomegranate,fruit,96053.0,254.0,6637.0,17155.0,7147.0,9.56,43.09,30.26,224.0,54432.0,85371.0,33395.0,
103,2025,maharashtra,banana,fruit,110138.0,298.0,3359.0,7965.0,6727.0,23.88,39.31,75.76,167.0,38076.0,56127.0,21845.0,
104,2022,punjab,orange,fruit,71917.0,105.0,6283.0,6936.0,12096.0,13.3,49.2,65.13,226.0,35482.0,60797.0,31136.0,
105,2023,haryana,coffee,cash crop,77811.0,22.0,7472.0,13383.0,11233.0,11.71,20.59,31.06,147.0,42777.0,74865.0,13685.0,
106,2022,haryana,coffee,cash crop,77447.0,27.0,6941.0,16034.0,12871.0,23.67,34.21,68.34,121.0,36179.0,72025.0,19725.0,
107,2024,tamil nadu,watermelon,fruit,137663.0,173.0,3185.0,7875.0,6318.0,18.18,18.3,56.59,275.0,67375.0,84753.0,22560.0,
108,2025,haryana,coconut,fruit,144534.0,215.0,3104.0,13013.0,4030.0,21.32,40.97,38.0,190.0,48070.0,68217.0,33854.0,
109,2025,uttar pradesh,grapes,fruit,117171.0,135.0,2965.0,6544.0,13062.0,15.22,30.0,50.83,267.0,78765.0,101336.0,18241.0,
110,2024,tamil nadu,lentil,pulse,68376.0,19.0,5846.0,7765.0,8836.0,14.07,23.56,37.67,89.0,15308.0,37755.0,21754.0,
111,2025,gujarat,mungbean,pulse,30524.0,16.0,2777.0,10376.0,12054.0,14.05,11.98,56.81,251.0,60240.0,85447.0,13178.0,
112,2025,karnataka,banana,fruit,84694.0,237.0,7307.0,8488.0,10030.0,19.81,36.11,26.43,183.0,49410.0,75235.0,29775.0,
113,2025,karnataka,muskmelon,fruit,129522.0,111.0,3881.0,15531.0,9579.0,14.01,12.17,68.03,178.0,37736.0,66727.0,29916.0,
114,2023,karnataka,papaya,fruit,100158.0,80.0,7304.0,15093.0,10346.0,13.98,32.59,23.7,161.0,27209.0,59952.0,32025.0,
115,2024,uttar pradesh,mungbean,pulse,55245.0,14.0,5366.0,11117.0,14121.0,9.24,44.12,62.79,286.0,80366.0,110970.0,12013.0,
116,2023,gujarat,maize,cereal,34674.0,35.0,6955.0,14276.0,14602.0,12.81,39.54,73.48,207.0,62100.0,97933.0,32990.0,
117,2022,uttar pradesh,rice,cereal,70653.0,33.0,6221.0,5774.0,6132.0,7.39,45.57,63.73,214.0,58208.0,76335.0,21734.0,
118,2025,gujarat,red pepper,spice,31485.0,33.0,7405.0,19173.0,11385.0,23.95,16.33,44.58,171.0,20007.0,57970.0,20120.0,
119,2025,punjab,rice,cereal,45102.0,36.0,2949.0,12230.0,6281.0,14.38,49.43,64.56,112.0,12096.0,33556.0,24058.0,
120,2025,tamil nadu,watermelon,fruit,74134.0,249.0,4418.0,11488.0,4917.0,15.88,22.47,23.77,175.0,43400.0,64223.0,31884.0,
121,2025,gujarat,coffee,cash crop,68633.0,11.0,5379.0,11901.0,6810.0,18.23,46.28,24.61,279.0,57474.0,81564.0,28214.0,
122,2025,gujarat,mango,fruit,147052.0,246.0,3237.0,10756.0,12121.0,9.1,12.62,60.0,93.0,11811.0,37925.0,20481.0,
123,2025,gujarat,watermelon,fruit,128817.0,143.0,7108.0,11223.0,3156.0,22.68,21.34,58.91,211.0,42411.0,63898.0,31316.0,
124,2024,tamil nadu,muskmelon,fruit,110659.0,100.0,2392.0,16763.0,12025.0,10.61,49.56,32.93,213.0,54741.0,85921.0,38887.0,
125,2022,gujarat,coffee,cash crop,61381.0,22.0,6759.0,7911.0,8357.0,6.09,40.03,51.64,258.0,26058.0,49085.0,38299.0,
126,2024,tamil nadu,orange,fruit,149021.0,131.0,2392.0,5074.0,10579.0,11.78,44.57,30.72,193.0,27020.0,45065.0,14346.0,
127,2022,gujarat,banana,fruit,143317.0,207.0,6705.0,12452.0,6037.0,20.09,11.63,42.78,267.0,67017.0,92211.0,31122.0,
128,2022,haryana,coffee,cash crop,78492.0,36.0,2059.0,5902.0,6124.0,7.46,43.83,39.38,90.0,10170.0,24255.0,18181.0,
129,2025,gujarat,mango,fruit,121993.0,103.0,3510.0,17638.0,7032.0,8.85,32.41,71.9,103.0,27501.0,55681.0,39079.0,
130,2024,maharashtra,orange,fruit,64638.0,218.0,2121.0,16105.0,3314.0,18.55,31.24,77.07,135.0,29700.0,51240.0,35140.0,
131,2024,uttar pradesh,coffee,cash crop,59129.0,33.0,4719.0,7259.0,5547.0,24.12,46.05,48.48,229.0,47632.0,65157.0,35975.0,
132,2022,gujarat,grapes,fruit,140141.0,251.0,5025.0,8216.0,5833.0,8.12,12.04,78.23,141.0,36801.0,55875.0,37449.0,
133,2024,uttar pradesh,pomegranate,fruit,135600.0,263.0,2390.0,13457.0,3627.0,8.59,30.34,28.72,238.0,33558.0,53032.0,31151.0,
134,2023,uttar pradesh,apple,fruit,80293.0,149.0,3919.0,17133.0,11511.0,21.64,27.08,76.35,95.0,27455.0,60018.0,32002.0,
135,2025,punjab,banana,fruit,87858.0,127.0,6672.0,10012.0,4370.0,19.62,39.94,53.31,234.0,40950.0,62004.0,16726.0,
136,2023,uttar pradesh,rice,cereal,47781.0,61.0,2678.0,12702.0,11021.0,16.73,17.77,39.59,251.0,43172.0,69573.0,19201.0,
137,2022,uttar pradesh,papaya,fruit,147729.0,213.0,6446.0,16111.0,7803.0,9.45,11.08,41.26,214.0,34668.0,65028.0,34786.0,
138,2023,maharashtra,orange,fruit,76304.0,278.0,5091.0,12949.0,5684.0,17.77,16.93,65.06,156.0,25740.0,49464.0,28233.0,
139,2024,haryana,coconut,fruit,123582.0,116.0,4092.0,19909.0,7670.0,5.85,32.49,33.32,267.0,51531.0,83202.0,24361.0,
140,2022,maharashtra,papaya,fruit,73686.0,284.0,2345.0,9140.0,4810.0,16.25,44.96,21.81,193.0,49022.0,65317.0,19610.0,
141,2024,gujarat,rice,cereal,59452.0,34.0,5297.0,5038.0,3071.0,8.18,26.47,46.72,196.0,52528.0,65934.0,15105.0,
142,2022,haryana,banana,fruit,95000.0,134.0,4988.0,5853.0,13744.0,12.61,11.37,53.58,147.0,38073.0,62658.0,19637.0,
143,2024,tamil nadu,orange,fruit,76144.0,261.0,5245.0,10520.0,6235.0,17.59,32.83,33.25,297.0,33561.0,55561.0,24145.0,
144,2024,tamil nadu,apple,fruit,97863.0,262.0,5736.0,14780.0,7577.0,22.74,25.89,65.77,289.0,81498.0,109591.0,32928.0,
145,2025,karnataka,orange,fruit,137201.0,144.0,2634.0,15603.0,11967.0,21.29,39.9,45.54,209.0,28424.0,58628.0,27689.0,
146,2022,gujarat,muskmelon,fruit,109859.0,268.0,3012.0,16483.0,4635.0,16.26,47.13,69.56,216.0,29808.0,53938.0,33237.0,
147,2023,karnataka,banana,fruit,79468.0,280.0,6269.0,19416.0,9042.0,23.58,24.83,42.97,285.0,82650.0,117377.0,37495.0,
148,2022,haryana,orange,fruit,121425.0,225.0,2324.0,8404.0,7282.0,17.24,31.65,62.41,139.0,22518.0,40528.0,19420.0,
149,2023,uttar pradesh,coconut,fruit,68473.0,162.0,6993.0,9900.0,8331.0,17.97,39.59,45.01,264.0,37752.0,62976.0,19215.0,
150,2018,Andhra Pradesh,pigeonpeas,Pulses,40255.56,7.22,10.21,66.29,11.63,118.92,28.82,117.33,263.7,21571.21,21659.34,11453.16,0.0
151,2018,Bihar,pigeonpeas,Pulses,37511.7,10.53,26.67,55.47,0.0,80.0,39.06,0.0,232.91,15780.65,15862.79,17005.0,1.0
152,2018,Chhattisgarh,pigeonpeas,Pulses,25777.16,5.02,20.32,30.12,0.0,86.87,37.5,0.0,307.41,15270.87,15321.31,7171.55,2.0
153,2018,Gujarat,pigeonpeas,Pulses,49193.26,7.59,9.14,42.6,82.94,112.81,23.06,15.58,719.98,30805.64,30940.32,10942.88,3.0
154,2018,Karnataka,pigeonpeas,Pulses,40818.6,7.38,14.0,78.48,3.72,61.24,34.38,134.48,309.3,21922.99,22019.19,11342.8,4.0
155,2018,Madhya Pradesh,pigeonpeas,Pulses,39666.05,9.15,26.16,45.93,2.43,87.86,39.33,191.26,367.0,19285.54,19360.06,13356.16,5.0
156,2018,Maharashtra,pigeonpeas,Pulses,70275.67,15.7,23.92,93.83,2.57,80.97,36.5,218.48,774.75,37922.95999999999,38043.27999999999,18555.04,6.0
157,2018,Odisha,pigeonpeas,Pulses,22556.67,4.83,16.57,4.87,0.05,54.67,32.49,100.07,335.35,12513.420000000002,12534.910000000002,8718.86,7.0
158,2018,Tamil Nadu,pigeonpeas,Pulses,75075.32,8.51,19.08,28.31,20.49,122.58,39.48,161.61,746.23,49219.29,49287.17,16540.68,8.0
159,2018,Telangana,pigeonpeas,Pulses,30095.03,2.45,9.5,60.35,0.0,128.92,35.47,0.0,202.82,15863.43,15933.28,7992.5,9.0
160,2018,Uttar Pradesh,pigeonpeas,Pulses,47519.11,9.52,19.28,19.66,0.61,141.92,18.82,60.0,476.93,19029.43,19068.98,22902.640000000003,10.0
161,2018,Andhra Pradesh,cotton,Fiber Crops,75749.93,14.1,3.1,128.76,0.18,1718.25,32.44,80.02,370.34,27612.9,27744.94,32585.53,11.0
162,2018,Gujarat,cotton,Fiber Crops,75186.24,14.92,1.78,186.1,32.47,1652.67,26.46,135.94,844.85,34714.3,34934.65,20389.29,12.0
163,2018,Haryana,cotton,Fiber Crops,74082.76,14.39,2.18,126.39,0.0,1673.51,27.19,151.93,460.78,31089.27,31217.84,29624.65,13.0
164,2018,Karnataka,cotton,Fiber Crops,58811.37,11.74,2.09,113.63,1.98,1595.56,32.95,139.65,653.6700000000001,28827.21,28944.91,18930.95,14.0
165,2018,Madhya Pradesh,cotton,Fiber Crops,91735.63,20.01,1.25,198.63,10.08,1674.39,27.33,231.76,939.63,43595.14,43805.1,28722.21,15.0
166,2018,Maharashtra,cotton,Fiber Crops,84742.52,15.77,1.83,216.69,7.24,1601.87,32.56,210.19,895.76,43201.2,43426.96,22333.87,16.0
167,2018,Odisha,cotton,Fiber Crops,70529.88,13.04,1.46,243.2,11.69,1787.22,32.09,142.54,1150.88,37849.240000000005,38105.59,17663.29,17.0
168,2018,Punjab,cotton,Fiber Crops,98076.46,24.26,3.4,186.42,2.72,1652.14,21.18,24.0,634.87,35935.38,36127.92,44048.93,18.0
169,2018,Rajasthan,cotton,Fiber Crops,83719.54,17.1,2.77,127.17,31.42,1902.55,26.52,120.48,664.37,40221.43,40382.78999999999,24211.980000000003,19.0
170,2018,Tamil Nadu,cotton,Fiber Crops,113334.47,17.76,4.86,212.32,25.87,747.56,30.45,152.59,1225.94,68128.52,68371.57,23347.33,20.0
171,2018,Telangana,cotton,Fiber Crops,87456.91,15.12,2.84,270.79,1.43,1662.64,27.63,133.77,487.23,39750.16,40025.22,30324.67,21.0
172,2018,Andhra Pradesh,sorghum,Cereals,34688.38,11.82,10.43,100.82,1.1,109.01,22.11,99.99,209.99,19217.93,19330.28,10270.2,22.0
173,2018,Karnataka,sorghum,Cereals,33239.89,12.74,9.67,38.28,2.12,63.39,36.07,122.08,320.79999999999995,18953.94,19004.009999999995,10648.87,23.0
174,2018,Madhya Pradesh,sorghum,Cereals,36188.68,21.48,13.83,66.37,13.78,178.24,37.27,197.78,295.51,17320.85,17414.829999999998,10576.93,24.0
175,2018,Maharashtra,sorghum,Cereals,50271.5,10.72,12.08,65.9,0.64,65.42,30.62,276.38,533.19,31399.53,31478.150000000005,13649.55,25.0
176,2018,Rajasthan,sorghum,Cereals,37279.63,8.24,33.18,41.54,10.98,33.89,24.31,99.9,416.79,26324.03,26409.73,7131.74,26.0
177,2018,Tamil Nadu,sorghum,Cereals,55217.45,13.74,20.9,60.77,13.49,40.6,28.97,150.0,396.11,25381.38,25476.540000000005,21331.25,27.0
178,2018,Telangana,sorghum,Cereals,41874.01,4.13,8.31,67.25,8.9,165.75,31.35,0.0,459.7699999999999,31542.36,31626.820000000003,5307.62,28.0
179,2018,Andhra Pradesh,maize,Cereals,76753.76,42.39,16.92,308.62,1.39,225.24,27.97,50.0,392.43,25012.49,25339.42,33518.93,29.0
